,area,business_code,value
293,127300,A,6.0
294,127400,A,6.0
295,127500,A,0.0
296,127601,A,15.0
297,127701,A,6.0
298,127801,A,12.0
299,127900,A,9.0
300,128000,A,3.0
301,128101,A,6.0
302,128200,A,9.0
303,128301,A,9.0
304,128401,A,12.0
305,128501,A,3.0
306,128601,A,15.0
307,128700,A,
308,128800,A,9.0
309,128901,A,6.0
310,128902,A,6.0
311,129000,A,9.0
312,129101,A,12.0
313,129201,A,6.0
314,129300,A,6.0
315,129400,A,6.0
316,129501,A,6.0
317,129600,A,12.0
318,129700,A,12.0
319,129800,A,9.0
320,129901,A,12.0
321,129902,A,6.0
322,130000,A,24.0
323,130100,A,12.0
324,130200,A,15.0
325,130300,A,12.0
326,130400,A,9.0
327,130500,A,12.0
328,130601,A,9.0
329,130700,A,18.0
330,130801,A,3.0
331,130901,A,6.0
332,130902,A,6.0
333,131000,A,3.0
334,131100,A,12.0
335,131200,A,12.0
336,131300,A,6.0
337,131400,A,6.0
338,131500,A,6.0
339,131600,A,12.0
340,131700,A,15.0
341,131801,A,12.0
342,131802,A,3.0
343,131900,A,15.0
344,132001,A,3.0
345,132002,A,9.0
346,132100,A,6.0
347,132200,A,6.0
348,132300,A,6.0
349,132400,A,6.0
350,132501,A,6.0
351,132600,A,21.0
352,132700,A,3.0
353,132800,A,9.0
354,132900,A,9.0
355,133000,A,9.0
356,133100,A,9.0
357,133200,A,3.0
358,133301,A,6.0
359,133400,A,6.0
360,133500,A,12.0
361,133600,A,24.0
362,133700,A,12.0
363,133800,A,3.0
364,133900,A,3.0
365,134000,A,9.0
366,134100,A,0.0
367,134200,A,9.0
368,134301,A,0.0
369,134302,A,3.0
370,134400,A,12.0
371,134500,A,3.0
372,134600,A,3.0
373,134700,A,12.0
374,134800,A,0.0
375,134900,A,9.0
376,135000,A,3.0
377,135100,A,9.0
378,135200,A,3.0
379,135300,A,3.0
380,135401,A,9.0
381,135500,A,9.0
382,135600,A,3.0
383,135700,A,0.0
384,135800,A,6.0
385,135900,A,3.0
386,136001,A,9.0
387,136002,A,3.0
388,136100,A,3.0
389,136200,A,3.0
390,136300,A,9.0
391,136400,A,15.0
392,136501,A,3.0
393,136502,A,3.0
394,136601,A,6.0
395,136700,A,12.0
396,136801,A,6.0
397,136900,A,3.0
398,137000,A,3.0
399,137100,A,6.0
400,137201,A,6.0
401,137202,A,6.0
402,137300,A,6.0
403,137400,A,15.0
404,137500,A,9.0
405,137600,A,0.0
406,137701,A,3.0
407,137800,A,6.0
408,137901,A,6.0
409,138000,A,6.0
410,138100,A,9.0
411,138200,A,9.0
412,138301,A,12.0
413,138302,A,6.0
414,138400,A,12.0
415,138501,A,3.0
416,138502,A,3.0
417,138600,A,3.0
418,138700,A,6.0
419,138800,A,
420,138901,A,6.0
421,139000,A,9.0
422,139100,A,6.0
423,139201,A,12.0
424,139300,A,9.0
425,139400,A,3.0
426,139501,A,0.0
427,139601,A,6.0
428,139700,A,12.0
429,139801,A,6.0
430,139802,A,0.0
431,139900,A,6.0
432,140000,A,27.0
433,140100,A,18.0
434,140200,A,9.0
435,140300,A,15.0
436,140400,A,0.0
437,140500,A,12.0
438,140601,A,6.0
439,140700,A,0.0
440,140800,A,9.0
441,140901,A,6.0
442,140902,A,3.0
443,141000,A,9.0
444,141101,A,12.0
445,141102,A,3.0
446,141201,A,0.0
447,141300,A,0.0
448,141400,A,
449,141500,A,9.0
450,141600,A,3.0
451,141700,A,6.0
452,141801,A,9.0
453,141802,A,3.0
454,141900,A,6.0
455,142001,A,6.0
456,142002,A,6.0
457,142101,A,6.0
458,142201,A,6.0
459,142202,A,6.0
460,142301,A,9.0
461,142400,A,6.0
462,142501,A,6.0
463,142600,A,3.0
464,142700,A,12.0
465,142801,A,6.0
466,142802,A,6.0
467,142901,A,3.0
468,143000,A,15.0
469,143100,A,12.0
470,143200,A,3.0
471,143301,A,6.0
472,143400,A,6.0
473,143500,A,12.0
474,143600,A,9.0
475,143700,A,9.0
476,143800,A,9.0
477,143900,A,9.0
478,144001,A,6.0
479,144101,A,6.0
480,144201,A,0.0
481,144300,A,6.0
482,144400,A,3.0
483,144500,A,6.0
484,144600,A,54.0
485,144700,A,3.0
486,144800,A,0.0
487,144900,A,6.0
488,145000,A,6.0
489,145101,A,12.0
490,145102,A,6.0
491,145200,A,3.0
492,145300,A,6.0
493,145400,A,0.0
494,145500,A,3.0
495,145600,A,0.0
496,145700,A,6.0
497,145800,A,9.0
498,145900,A,0.0
499,146000,A,6.0
500,146100,A,12.0
501,146201,A,3.0
502,146301,A,3.0
503,146302,A,0.0
504,146400,A,3.0
505,146501,A,3.0
506,146600,A,6.0
507,146700,A,0.0
508,146800,A,9.0
509,146900,A,42.0
510,147001,A,3.0
511,147002,A,3.0
512,147100,A,3.0
513,147201,A,12.0
514,147202,A,9.0
515,147300,A,
516,147400,A,0.0
517,147500,A,9.0
518,147600,A,78.0
519,147700,A,
520,147800,A,3.0
521,147900,A,3.0
522,148000,A,9.0
523,148101,A,9.0
524,148102,A,9.0
525,148200,A,3.0
526,148300,A,12.0
527,148401,A,6.0
528,148501,A,6.0
529,148600,A,12.0
530,148700,A,66.0
531,148800,A,9.0
532,148901,A,15.0
533,149001,A,6.0
534,149100,A,9.0
535,149200,A,6.0
536,149300,A,3.0
537,149400,A,12.0
538,149500,A,3.0
539,149600,A,
540,149701,A,9.0
541,149702,A,3.0
