,area,income,value
216,120202,<10000,498.0
217,120203,<10000,354.0
218,120301,<10000,471.0
219,120400,<10000,483.0
220,120500,<10000,459.0
221,120600,<10000,414.0
222,120701,<10000,474.0
223,120800,<10000,366.0
224,120900,<10000,399.0
225,121001,<10000,426.0
226,121100,<10000,273.0
227,121200,<10000,402.0
228,121300,<10000,432.0
229,121401,<10000,282.0
230,121500,<10000,372.0
231,121600,<10000,522.0
232,121701,<10000,402.0
233,121800,<10000,384.0
234,121901,<10000,486.0
235,122001,<10000,489.0
236,122101,<10000,342.0
237,122200,<10000,423.0
238,122300,<10000,489.0
239,122400,<10000,495.0
240,122501,<10000,540.0
241,122600,<10000,390.0
242,122700,<10000,495.0
243,122801,<10000,273.0
244,122802,<10000,309.0
245,122901,<10000,438.0
246,123000,<10000,543.0
247,123100,<10000,396.0
248,123200,<10000,366.0
249,123300,<10000,456.0
250,123400,<10000,615.0
251,123500,<10000,21.0
252,123600,<10000,471.0
253,123701,<10000,318.0
254,123702,<10000,282.0
255,123800,<10000,552.0
256,123900,<10000,324.0
257,124000,<10000,579.0
258,124100,<10000,138.0
259,124200,<10000,408.0
260,124301,<10000,540.0
261,124401,<10000,381.0
262,124500,<10000,399.0
263,124600,<10000,333.0
264,124700,<10000,159.0
265,124800,<10000,435.0
266,124900,<10000,519.0
267,125000,<10000,474.0
268,125100,<10000,18.0
269,125201,<10000,309.0
270,125202,<10000,159.0
271,125300,<10000,396.0
272,125400,<10000,357.0
273,125500,<10000,426.0
274,125600,<10000,522.0
275,125701,<10000,489.0
276,125800,<10000,420.0
277,125900,<10000,231.0
278,126000,<10000,432.0
279,126100,<10000,300.0
280,126200,<10000,498.0
281,126300,<10000,468.0
282,126401,<10000,378.0
283,126500,<10000,360.0
284,126601,<10000,438.0
285,126701,<10000,297.0
286,126702,<10000,396.0
287,126801,<10000,357.0
288,126901,<10000,531.0
289,127001,<10000,408.0
290,127002,<10000,489.0
291,127100,<10000,321.0
292,127200,<10000,168.0
293,127300,<10000,342.0
294,127400,<10000,348.0
295,127500,<10000,156.0
296,127601,<10000,240.0
297,127701,<10000,285.0
298,127801,<10000,435.0
299,127900,<10000,363.0
300,128000,<10000,120.0
301,128101,<10000,273.0
302,128200,<10000,297.0
303,128301,<10000,477.0
304,128401,<10000,582.0
305,128501,<10000,468.0
306,128601,<10000,264.0
307,128700,<10000,
308,128800,<10000,558.0
309,128901,<10000,315.0
310,128902,<10000,315.0
311,129000,<10000,414.0
312,129101,<10000,459.0
313,129201,<10000,324.0
314,129300,<10000,438.0
315,129400,<10000,333.0
316,129501,<10000,411.0
317,129600,<10000,465.0
318,129700,<10000,309.0
319,129800,<10000,273.0
320,129901,<10000,285.0
321,129902,<10000,372.0
322,130000,<10000,273.0
323,130100,<10000,408.0
324,130200,<10000,231.0
