,index,business_code,sex,age,ethnicity,value
145,139723,O,1,30-34,1,1822
146,139728,O,1,30-34,2,1667
147,139733,O,1,30-34,3,1726
148,139738,O,1,30-34,4,1726
149,139748,O,1,35-39,1,1732
150,139753,O,1,35-39,2,1937
151,139758,O,1,35-39,3,1511
152,139763,O,1,35-39,4,1534
153,139773,O,1,40-44,1,2052
154,139778,O,1,40-44,4,2277
155,139788,O,1,45-49,1,2110
156,139793,O,1,45-49,4,1630
157,139803,O,1,50-54,1,1987
158,139808,O,1,50-54,2,1283
159,139818,O,1,55-59,1,2048
160,139823,O,1,55-59,2,1918
161,139873,O,2,60-64,1,1343
162,139878,O,2,60-64,2,1573
163,139888,O,2,65-999,1,1450
164,139898,O,2,20-24,1,1247
165,139903,O,2,20-24,2,1080
166,139908,O,2,20-24,3,1343
167,139913,O,2,20-24,4,1247
168,139923,O,2,25-29,1,1534
169,139928,O,2,25-29,2,1367
170,139933,O,2,25-29,4,1419
171,139943,O,2,30-34,1,1611
172,139948,O,2,30-34,2,1381
173,139953,O,2,30-34,4,1515
174,139963,O,2,35-39,1,1611
175,139968,O,2,35-39,2,1344
176,139973,O,2,35-39,3,1381
177,139978,O,2,35-39,4,1611
178,139988,O,2,40-44,1,1630
179,139993,O,2,40-44,2,1924
180,139998,O,2,40-44,4,1438
181,140008,O,2,45-49,1,1611
182,140013,O,2,45-49,2,1458
183,140018,O,2,45-49,3,1320
184,140023,O,2,45-49,4,1600
185,140033,O,2,50-54,1,1669
186,140038,O,2,50-54,2,1732
187,140043,O,2,50-54,3,1368
188,140048,O,2,50-54,4,1532
189,140058,O,2,55-59,1,1899
190,140063,O,2,55-59,2,1726
191,140388,P,1,60-64,1,1860
192,140398,P,1,65-999,1,770
193,140403,P,1,65-999,2,1726
194,140413,P,1,20-24,1,960
195,140423,P,1,25-29,1,1476
196,140428,P,1,25-29,4,1093
197,140438,P,1,30-34,1,1411
198,140448,P,1,35-39,1,1766
199,140458,P,1,40-44,1,2053
200,140463,P,1,40-44,2,2091
201,140473,P,1,45-49,1,1880
202,140478,P,1,45-49,2,1930
203,140483,P,1,45-49,4,1975
204,140493,P,1,50-54,1,1904
205,140503,P,1,55-59,1,1918
206,140543,P,2,15-19,1,208
207,140553,P,2,60-64,1,1295
208,140558,P,2,60-64,2,1343
209,140563,P,2,60-64,4,1283
210,140573,P,2,65-999,1,1357
211,140583,P,2,20-24,1,926
212,140588,P,2,20-24,2,978
213,140598,P,2,25-29,1,1093
214,140603,P,2,25-29,2,1093
215,140608,P,2,25-29,4,1093
216,140618,P,2,30-34,1,1304
217,140623,P,2,30-34,2,1477
218,140628,P,2,30-34,4,1266
219,140638,P,2,35-39,1,1534
220,140643,P,2,35-39,2,1608
221,140648,P,2,35-39,4,1573
222,140658,P,2,40-44,1,1253
223,140663,P,2,40-44,2,1329
224,140668,P,2,40-44,4,1247
225,140678,P,2,45-49,1,1539
226,140683,P,2,45-49,2,1554
227,140688,P,2,45-49,4,1381
228,140698,P,2,50-54,1,1343
229,140703,P,2,50-54,2,1077
230,140708,P,2,50-54,4,1621
231,140718,P,2,55-59,1,1452
232,140723,P,2,55-59,2,1075
233,140728,P,2,55-59,4,1285
234,141043,Q,1,60-64,1,1475
235,141053,Q,1,65-999,1,1630
236,141063,Q,1,20-24,1,1120
237,141068,Q,1,20-24,2,1400
238,141078,Q,1,25-29,1,1400
239,141083,Q,1,25-29,4,1180
240,141093,Q,1,30-34,1,2110
241,141098,Q,1,30-34,4,1424
242,141108,Q,1,35-39,1,1812
243,141113,Q,1,35-39,4,1600
244,141123,Q,1,40-44,1,1534
245,141128,Q,1,40-44,2,2388
246,141133,Q,1,40-44,4,1400
247,141143,Q,1,45-49,1,2397
248,141148,Q,1,45-49,4,1343
249,141158,Q,1,50-54,1,2053
250,141168,Q,1,55-59,1,1630
251,141208,Q,2,15-19,1,334
252,141218,Q,2,60-64,1,1196
253,141223,Q,2,60-64,2,1304
254,141228,Q,2,60-64,4,1506
255,141238,Q,2,65-999,1,1106
256,141243,Q,2,65-999,2,1011
257,141253,Q,2,20-24,1,997
258,141258,Q,2,20-24,2,1055
259,141263,Q,2,20-24,3,946
260,141268,Q,2,20-24,4,920
261,141278,Q,2,25-29,1,1419
262,141283,Q,2,25-29,2,1483
263,141288,Q,2,25-29,3,1080
264,141293,Q,2,25-29,4,1376
265,141303,Q,2,30-34,1,1440
266,141308,Q,2,30-34,2,1343
267,141313,Q,2,30-34,3,1162
268,141318,Q,2,30-34,4,1438
269,141328,Q,2,35-39,1,1304
270,141333,Q,2,35-39,2,1176
271,141338,Q,2,35-39,3,1283
272,141343,Q,2,35-39,4,1529
273,141353,Q,2,40-44,1,1440
274,141358,Q,2,40-44,2,1200
275,141363,Q,2,40-44,3,1343
276,141368,Q,2,40-44,4,1419
277,141378,Q,2,45-49,1,1475
278,141383,Q,2,45-49,2,1266
279,141388,Q,2,45-49,3,1164
280,141393,Q,2,45-49,4,1152
281,141403,Q,2,50-54,1,1377
282,141408,Q,2,50-54,2,1506
283,141413,Q,2,50-54,3,1604
284,141418,Q,2,50-54,4,1127
285,141428,Q,2,55-59,1,1343
286,141433,Q,2,55-59,2,1160
287,141438,Q,2,55-59,3,1221
288,141443,Q,2,55-59,4,1247
289,141783,R,1,15-19,1,926
290,141788,R,1,15-19,2,940
291,141798,R,1,60-64,1,1438
292,141808,R,1,65-999,1,1178
293,141818,R,1,20-24,1,1118
294,141823,R,1,20-24,2,1080
295,141833,R,1,25-29,1,1280
296,141838,R,1,25-29,2,1260
297,141843,R,1,25-29,4,1040
298,141853,R,1,30-34,1,1400
299,141858,R,1,30-34,4,1120
300,141868,R,1,35-39,1,1438
301,141873,R,1,35-39,2,1200
302,141878,R,1,35-39,4,1343
303,141888,R,1,40-44,1,1534
304,141893,R,1,40-44,2,1312
305,141898,R,1,40-44,4,1343
306,141908,R,1,45-49,1,1452
307,141913,R,1,45-49,4,1358
308,141923,R,1,50-54,1,1726
309,141933,R,1,55-59,1,1432
310,141973,R,2,15-19,1,579
311,141978,R,2,15-19,2,575
312,141988,R,2,60-64,1,1112
313,141998,R,2,65-999,1,968
314,142008,R,2,20-24,1,850
315,142013,R,2,20-24,2,1120
316,142018,R,2,20-24,4,840
317,142028,R,2,25-29,1,1040
318,142033,R,2,25-29,2,901
319,142038,R,2,25-29,4,1060
320,142048,R,2,30-34,1,1200
321,142053,R,2,30-34,2,754
322,142058,R,2,30-34,4,1540
323,142068,R,2,35-39,1,1160
324,142073,R,2,35-39,2,1475
325,142078,R,2,35-39,4,1080
326,142088,R,2,40-44,1,1240
327,142093,R,2,40-44,2,1026
328,142098,R,2,40-44,4,768
329,142108,R,2,45-49,1,1368
330,142118,R,2,50-54,1,1136
331,142128,R,2,55-59,1,962
332,142683,C,1,15-19,1,1026
333,142688,C,1,15-19,2,1120
334,142698,C,1,60-64,1,1726
335,142703,C,1,60-64,2,1283
336,142713,C,1,65-999,1,1302
337,142723,C,1,20-24,1,1120
338,142728,C,1,20-24,2,1000
339,142738,C,1,25-29,1,1343
340,142743,C,1,25-29,2,1188
341,142748,C,1,25-29,3,1192
342,142753,C,1,25-29,4,1272
343,142758,C,1,25-29,5,1468
344,142768,C,1,30-34,1,1600
345,142773,C,1,30-34,2,1275
346,142778,C,1,30-34,3,1192
347,142783,C,1,30-34,4,1250
348,142793,C,1,35-39,1,1707
349,142798,C,1,35-39,2,1534
350,142803,C,1,35-39,3,1192
351,142808,C,1,35-39,4,1350
352,142818,C,1,40-44,1,1710
353,142823,C,1,40-44,2,1445
354,142828,C,1,40-44,3,1312
355,142833,C,1,40-44,4,1400
356,142843,C,1,45-49,1,1668
357,142848,C,1,45-49,2,1662
358,142853,C,1,45-49,3,1496
359,142858,C,1,45-49,4,1283
360,142868,C,1,50-54,1,1649
361,142873,C,1,50-54,2,1671
362,142878,C,1,50-54,4,1333
363,142888,C,1,55-59,1,1607
364,142893,C,1,55-59,2,1521
365,142898,C,1,55-59,3,1260
366,142943,C,2,15-19,1,240
367,142948,C,2,15-19,2,200
368,142958,C,2,60-64,1,1189
369,142963,C,2,60-64,4,1055
370,142973,C,2,65-999,1,1400
371,142983,C,2,20-24,1,1151
372,142988,C,2,20-24,4,1285
373,142998,C,2,25-29,1,1036
374,143003,C,2,25-29,3,1334
375,143008,C,2,25-29,4,1361
376,143018,C,2,30-34,1,1343
377,143023,C,2,30-34,4,1184
378,143033,C,2,35-39,1,1343
379,143038,C,2,35-39,4,1232
380,143048,C,2,40-44,1,1540
381,143053,C,2,40-44,4,997
382,143063,C,2,45-49,1,1381
383,143068,C,2,45-49,2,1080
384,143073,C,2,45-49,4,1200
385,143083,C,2,50-54,1,1266
386,143088,C,2,50-54,2,1304
387,143093,C,2,50-54,4,997
388,143103,C,2,55-59,1,1151
389,143433,D,1,60-64,1,1284
390,143443,D,1,65-999,1,1575
391,143453,D,1,20-24,1,1369
392,143473,D,1,35-39,1,1989
393,143478,D,1,35-39,4,1496
394,143488,D,1,40-44,1,2040
395,143493,D,1,40-44,4,2302
396,143503,D,1,45-49,1,1822
397,143513,D,1,50-54,1,2685
398,143523,D,1,55-59,1,2877
399,143558,D,2,25-29,1,1381
400,143568,D,2,30-34,1,1918
401,143578,D,2,50-54,1,1438
402,143748,E,1,15-19,1,924
403,143753,E,1,15-19,2,768
404,143763,E,1,60-64,1,1550
405,143768,E,1,60-64,2,1680
406,143778,E,1,65-999,1,1438
407,143783,E,1,65-999,2,1280
408,143793,E,1,20-24,1,1215
409,143798,E,1,20-24,2,1192
410,143803,E,1,20-24,3,1332
411,143808,E,1,20-24,4,1000
412,143818,E,1,25-29,1,1400
413,143823,E,1,25-29,2,1440
414,143828,E,1,25-29,3,1350
415,143833,E,1,25-29,4,1271
416,143843,E,1,30-34,1,1520
417,143848,E,1,30-34,2,1410
418,143853,E,1,30-34,3,1080
419,143858,E,1,30-34,4,1400
420,143868,E,1,35-39,1,1710
421,143873,E,1,35-39,2,2014
422,143878,E,1,35-39,3,1438
423,143883,E,1,35-39,4,1411
424,143893,E,1,40-44,1,1822
425,143898,E,1,40-44,2,1822
426,143903,E,1,40-44,3,1400
427,143908,E,1,40-44,4,1520
428,143918,E,1,45-49,1,1795
429,143923,E,1,45-49,2,1600
430,143928,E,1,45-49,3,1668
431,143933,E,1,45-49,4,1600
432,143943,E,1,50-54,1,1620
433,143948,E,1,50-54,4,1468
