Number of dependent children,0,1,2,3,4
208700,324,45,60,33,15
208800,246,105,90,63,45
208900,33,6,9,0,0
209000,330,135,105,57,51
209100,348,102,105,60,45
209200,354,102,105,69,51
209300,54,12,12,6,3
209400,636,123,126,48,21
209500,360,69,87,36,33
209600,495,87,108,45,15
209700,639,117,108,36,15
209800,522,117,93,63,21
209900,618,141,126,45,24
210000,762,147,108,60,33
210100,48,12,9,6,6
210200,444,66,69,45,12
210300,483,81,72,24,12
210400,252,57,54,21,9
210500,117,24,12,0,0
210600,561,108,126,48,18
210700,603,111,96,27,15
210800,516,108,99,24,6
210900,540,129,138,60,30
211000,609,141,141,60,33
211100,708,96,87,24,12
211200,249,39,51,30,3
211300,501,96,81,24,15
211400,270,60,72,30,24
211500,552,78,69,18,6
211600,177,18,9,3,3
211700,687,75,150,45,6
211800,663,114,123,45,21
211900,804,99,153,57,12
212000,225,33,51,30,6
212100,441,60,72,24,9
212200,276,66,69,27,6
212300,489,87,111,39,15
212400,162,30,33,12,0
212500,360,63,45,15,6
212600,399,39,39,6,6
212800,99,6,3,3,0
212900,417,30,24,6,3
213000,417,72,105,45,9
213100,699,51,90,15,6
213200,744,111,111,39,9
213300,786,129,87,27,9
213400,855,117,123,42,6
213500,498,93,87,33,24
213600,390,81,75,36,15
213700,903,93,90,42,6
213800,411,93,84,27,12
213900,516,99,84,18,9
214000,465,66,72,18,0
214100,384,75,69,27,12
214200,444,93,66,21,9
214300,78,15,9,3,0
214400,582,111,96,27,9
214500,537,108,120,39,6
214600,627,117,117,45,12
214700,456,141,108,36,21
214800,411,78,51,33,21
214900,813,129,129,48,12
215000,774,171,129,57,36
215100,534,159,162,63,33
215200,666,120,123,42,15
215300,474,150,123,69,63
215400,588,99,126,42,15
215500,201,42,48,21,3
215600,567,84,99,54,27
215700,594,84,84,45,18
215800,756,99,81,45,18
215900,618,78,99,60,15
216000,522,69,72,30,12
216100,483,69,84,39,18
7,29802,5352,5427,2223,882
216300,933,192,153,60,27
216400,216,39,36,18,12
216500,321,63,105,42,9
216600,594,84,66,18,9
216700,402,99,87,54,18
216800,621,123,135,57,18
216900,771,93,87,27,6
217000,399,54,30,3,6
217100,342,90,75,36,21
217200,711,87,96,24,9
217300,753,120,105,33,6
217400,1242,195,189,78,27
217500,966,186,174,72,30
217600,594,159,141,60,18
217700,12,3,9,0,3
217800,819,147,147,51,6
217900,579,102,120,36,15
218000,714,150,171,51,24
218100,813,156,132,39,18
218200,156,42,45,18,3
218300,810,144,162,51,18
218400,915,165,186,69,15
218500,1008,183,156,78,45
218600,723,117,141,63,9
218700,834,120,162,57,15
218800,180,36,36,12,3
218900,711,141,117,57,27
219000,372,75,99,33,15
219100,402,99,114,54,12
219200,180,42,27,18,18
219300,369,75,108,45,15
219400,507,81,69,39,12
219500,459,93,123,51,12
219600,942,186,159,72,24
219700,126,21,27,21,9
219800,345,63,78,39,12
219900,141,21,39,9,12
220000,321,60,75,24,12
220100,534,69,81,45,18
220300,627,93,87,39,15
220400,444,93,93,21,15
220500,441,99,93,63,30
220600,249,60,72,33,18
220700,393,63,60,24,12
220800,276,60,63,39,9
220900,375,69,78,39,12
221000,534,99,72,27,24
221100,285,39,51,30,12
221200,186,33,30,18,12
221300,438,69,87,30,9
221400,351,75,81,45,24
221500,138,21,30,12,3
221600,477,90,84,33,12
221700,393,57,57,36,9
221800,492,96,81,33,21
221900,762,117,93,30,27
222000,156,24,39,15,6
222100,567,78,72,33,18
222200,375,48,36,12,9
8,60984,10302,9702,4014,1893
187600,9,0,0,0,0
220200,39,3,3,3,0
222300,291,30,36,12,12
222400,312,39,51,24,9
222500,441,63,51,33,18
222600,447,60,48,24,9
222700,360,60,51,24,18
222800,273,27,42,15,15
222900,291,48,51,24,9
223000,198,36,30,24,21
223100,309,42,42,18,9
223200,114,36,42,12,9
223300,258,42,45,15,6
223400,315,39,69,30,6
223500,345,57,60,27,9
223600,432,78,57,21,15
223700,522,54,63,21,9
223800,396,87,66,42,21
223900,111,15,3,9,0
224000,483,84,84,30,21
224100,342,48,27,15,9
224200,663,84,108,33,9
224300,717,132,105,45,27
224400,489,66,81,18,9
224500,444,63,66,21,6
224600,588,108,84,36,9
224700,36,0,6,3,0
224800,606,108,84,27,21
224900,414,75,72,24,18
225000,327,54,33,21,9
225100,630,96,90,39,18
225200,444,69,51,24,18
225300,663,129,114,48,21
225400,576,51,21,15,3
225500,678,114,105,27,9
225600,366,75,57,33,12
225700,174,21,18,9,0
225800,528,87,72,36,27
225900,645,114,75,33,12
226000,204,21,18,12,3
226100,441,60,72,33,12
226300,285,48,45,30,6
226400,357,42,39,27,18
226500,474,69,72,30,18
226600,261,42,42,21,6
226700,945,96,105,33,33
226800,207,30,39,21,12
226900,537,87,69,48,33
227000,459,72,87,45,15
227100,324,48,72,36,18
227200,477,99,90,42,12
227300,294,57,60,24,9
227400,402,45,42,15,12
227500,498,81,96,45,15
227600,303,48,60,24,12
227700,87,24,42,15,9
227800,273,57,66,33,15
227900,627,159,159,69,27
228000,618,102,90,27,12
228100,750,126,132,45,24
228200,537,54,48,30,12
228300,648,120,108,42,24
228400,261,36,24,21,3
228500,519,99,105,39,15
228600,417,87,78,45,18
228700,345,57,96,45,6
228800,426,84,84,39,6
228900,75,12,15,9,0
229000,630,105,99,39,12
229100,459,90,105,21,6
229200,87,21,18,6,3
229300,693,162,126,45,27
229400,357,69,87,24,15
229500,615,159,99,66,36
229600,840,156,150,45,15
229700,54,12,15,6,0
229800,654,120,108,54,18
229900,516,138,105,60,54
230000,585,90,60,24,9
230100,600,114,105,36,21
230200,573,114,87,45,21
230300,492,165,150,45,24
230400,417,111,150,42,18
230500,780,105,87,36,12
230600,303,45,21,3,3
230700,768,174,159,66,36
230800,828,174,156,54,36
230900,363,72,72,18,6
231000,705,87,48,12,9
231100,447,111,153,51,12
231200,816,132,96,36,15
231300,786,141,183,60,27
231400,483,81,60,18,3
231500,633,123,144,51,21
231600,534,111,60,24,9
231700,648,123,108,21,9
231800,768,162,165,45,21
231900,9,3,3,0,0
232000,489,69,54,18,3
232100,123,78,60,18,9
232200,618,168,189,54,27
232300,456,93,108,24,18
232400,126,30,45,18,9
232500,243,51,75,27,9
232600,147,24,48,9,3
232700,738,144,141,51,12
232800,396,63,63,33,15
232900,330,42,54,27,12
233000,447,66,69,30,21
233100,459,72,51,27,12
233200,624,87,90,39,9
233300,888,141,105,66,39
233400,138,21,27,18,3
233500,138,21,33,18,6
233600,717,102,108,51,30
233700,378,66,66,39,15
233800,186,27,27,18,9
234000,240,33,33,18,6
234100,678,51,45,24,3
234200,384,54,33,30,9
234300,513,84,54,27,24
234400,672,75,66,27,12
234500,261,24,21,6,0
234600,345,87,96,57,18
234700,333,42,42,12,12
234800,624,78,54,30,12
234900,672,111,90,39,21
235000,384,69,45,24,15
235100,480,66,78,33,9
235200,447,36,21,3,6
235300,327,45,42,15,6
235400,378,57,51,21,12
235500,705,84,63,21,18
235600,558,81,42,36,18
235700,405,57,48,21,12
235800,417,78,57,33,33
235900,342,66,45,33,15
236000,279,30,39,12,0
236100,111,21,21,12,3
9,121539,23934,23220,7869,2538
236300,567,75,66,15,9
236400,189,24,21,6,3
236500,978,150,120,60,33
236600,432,63,45,24,3
236700,285,39,36,12,6
236800,1017,141,144,36,9
236900,186,18,27,9,3
237000,954,198,207,75,24
237100,783,87,96,30,6
237200,711,72,69,30,6
237300,813,111,120,42,9
237400,207,30,48,3,3
237500,1047,141,150,51,12
237600,1608,126,129,57,18
237700,216,30,27,12,3
237800,1245,183,150,51,18
237900,336,51,54,18,3
238000,750,141,162,69,12
238100,699,84,102,36,12
238300,657,102,114,48,9
238400,528,102,90,42,12
238500,888,195,207,78,24
238600,465,93,93,27,9
238800,417,96,123,30,12
238900,72,18,24,6,3
239000,573,78,108,42,12
239100,597,126,132,54,27
239200,735,201,162,84,36
239300,366,111,84,54,39
239400,183,45,54,18,6
239500,354,90,93,45,18
239600,453,102,108,51,6
239800,663,111,114,39,9
239900,18,0,3,0,0
240000,498,90,105,42,9
240100,600,168,213,60,12
240200,516,168,162,42,18
240300,399,156,126,63,33
240400,660,132,171,63,21
240500,363,123,96,36,18
240600,792,255,321,78,18
240700,402,141,135,93,75
240800,420,174,177,108,99
240900,315,63,51,18,6
241000,411,159,138,90,78
241100,186,84,54,36,30
241200,159,33,30,9,0
241300,300,114,126,24,9
241400,624,135,111,42,9
241500,786,216,171,48,18
241600,519,156,138,36,15
241700,450,126,111,45,21
241800,804,159,216,60,12
241900,825,132,171,51,18
242000,846,177,114,36,15
242100,639,156,165,45,15
242200,339,48,33,6,3
242300,396,87,129,39,6
242400,738,123,114,39,12
242500,684,138,105,27,9
242600,651,189,177,54,21
242700,222,51,42,12,6
242800,417,96,126,45,12
242900,567,129,96,45,12
243000,141,27,27,6,3
243100,60,15,24,6,3
243200,819,216,264,63,15
243300,327,84,87,27,6
243400,585,174,177,39,12
243500,447,93,132,27,12
243600,588,141,141,39,9
243700,222,51,39,12,3
243800,234,66,69,27,6
243900,93,15,21,3,0
244000,690,138,147,42,6
244100,525,156,117,57,27
244200,606,147,114,36,6
244300,240,54,39,9,3
244400,744,117,102,27,9
244500,417,111,105,33,18
244600,579,174,129,48,30
244700,1125,168,141,45,9
244800,786,126,141,60,9
244900,726,174,162,69,15
245000,741,126,87,42,12
245100,777,165,150,36,9
245200,627,120,99,45,18
245300,447,90,81,21,3
245400,693,180,135,69,33
245500,531,126,120,39,6
245600,708,171,132,39,15
245700,45,3,6,3,0
245800,402,102,69,21,6
245900,450,108,126,60,30
246000,1020,237,204,69,15
246100,738,168,171,57,9
246200,501,135,102,42,30
246300,414,69,78,39,9
246400,501,141,138,60,30
246600,489,156,132,51,30
246700,564,96,99,30,9
246800,147,21,36,9,3
246900,738,192,141,72,30
247000,657,225,201,81,39
247100,378,81,81,45,12
247200,741,108,165,51,6
247300,612,165,168,57,15
247400,549,150,105,42,24
247500,201,45,45,18,3
247600,591,189,162,63,24
247700,672,195,162,48,18
247800,624,171,207,54,12
247900,675,135,126,42,12
248000,414,114,123,39,18
248100,621,255,237,69,21
248200,54,12,12,9,3
248300,690,201,216,57,6
248400,660,183,219,57,9
248500,300,102,123,27,6
248600,639,204,189,48,12
248700,609,186,156,36,18
248800,561,162,162,48,6
248900,678,156,135,33,15
249000,354,108,84,24,9
249100,393,96,108,27,3
249200,417,93,63,27,6
249300,450,111,123,39,6
249400,1008,240,291,78,12
249500,795,234,210,66,21
249600,696,180,210,57,12
249700,813,258,201,57,15
249800,285,105,123,24,3
249900,573,126,153,63,3
250000,606,108,192,57,9
250100,594,114,114,30,6
250200,441,90,129,33,12
250300,876,180,207,78,18
250400,882,261,273,81,12
250500,420,87,114,27,6
250600,732,174,219,66,9
250700,306,30,21,3,0
250800,894,162,171,48,12
250900,1503,147,78,21,3
251000,222,18,15,3,0
251100,582,69,66,27,6
251200,1152,102,78,21,3
251300,321,24,30,12,0
251400,987,45,15,0,0
251500,537,108,99,36,9
251600,1350,63,18,3,0
251700,1143,60,15,0,0
251800,693,51,15,0,0
251900,750,129,135,39,9
252000,1389,81,63,18,6
252100,981,60,30,3,0
252200,405,87,105,21,6
252300,573,33,24,3,0
252400,768,51,27,3,0
252500,1452,138,108,15,6
252600,588,54,51,18,6
252700,402,99,117,33,6
252800,780,186,177,39,6
252900,537,60,48,12,3
253000,990,111,81,15,6
253100,1020,168,180,63,9
253200,297,42,48,12,6
253300,1053,219,159,30,12
253400,414,60,57,18,6
253500,387,81,69,24,6
253600,1014,153,114,36,18
253700,789,129,84,21,6
253800,711,174,198,63,12
253900,315,81,57,18,0
254000,765,159,195,75,18
254100,270,69,81,30,6
254200,507,129,81,36,12
254300,684,138,135,33,9
254400,546,111,90,15,9
254500,276,66,57,15,3
254600,393,81,75,27,6
254700,393,105,84,24,9
254800,642,150,189,63,9
254900,801,180,189,45,12
255000,21,3,0,0,0
255100,798,195,195,75,18
255200,459,126,150,51,12
255300,231,42,30,12,12
255400,279,51,54,30,15
255500,297,48,54,21,6
255600,486,57,57,24,9
255700,636,90,108,45,12
255800,453,69,57,33,9
255900,189,27,30,9,3
256000,456,69,63,39,6
256100,537,93,90,42,12
256200,861,183,147,60,21
256300,756,102,102,39,18
256400,657,90,66,36,9
256500,375,39,60,36,12
256600,264,42,45,24,6
256700,303,72,69,33,30
256800,441,81,84,27,15
256900,828,99,87,39,15
257000,279,39,51,33,12
257100,789,114,117,42,21
257200,213,33,30,24,9
257300,351,51,63,30,9
257400,261,39,45,15,6
257500,744,108,102,36,15
257700,765,84,120,36,9
257800,402,51,57,27,9
257900,555,81,60,21,9
16,13131,2166,2436,795,285
300300,690,96,96,42,12
300500,387,66,60,12,6
300600,411,66,51,21,9
300700,276,48,45,9,9
300800,384,63,72,21,12
300900,447,99,84,45,9
301000,393,63,69,21,12
301100,717,99,102,27,15
301200,483,114,99,39,15
301300,948,90,96,36,12
301500,456,60,84,39,6
301600,768,132,147,51,15
301700,657,90,147,33,9
301800,402,42,51,18,6
302000,30,6,3,0,3
302100,258,45,51,24,6
302200,159,33,33,6,9
302300,537,108,144,45,21
302400,246,24,27,12,3
302500,318,48,60,15,9
302600,435,99,132,48,15
302700,216,42,39,9,6
302800,483,90,102,30,15
302900,663,102,123,36,12
303000,129,18,33,15,0
303100,588,111,114,30,9
303200,453,75,108,33,15
303300,603,150,162,54,15
303400,516,72,66,18,0
303500,78,12,30,15,6
17,13482,2427,2226,798,234
303600,417,96,90,30,6
303700,24,3,0,0,0
303800,321,45,51,18,0
304000,21,3,3,3,0
304100,885,138,90,33,15
304200,546,75,75,21,3
304300,801,138,123,48,3
304400,618,123,120,27,15
304500,633,144,132,45,21
304600,816,138,105,33,12
304700,153,21,18,6,3
304800,993,120,84,33,9
304900,372,90,84,42,12
305000,465,90,93,39,12
305100,927,111,123,45,18
305200,324,84,87,39,12
305300,654,135,129,45,15
305400,585,105,117,30,9
305500,378,75,60,18,6
305600,549,123,105,42,12
305700,18,3,3,0,0
305800,759,105,96,36,12
305900,909,159,138,57,18
306000,705,165,141,42,12
306100,177,27,60,21,3
306200,432,114,111,42,12
18,13224,1854,1899,699,273
306300,576,57,81,24,18
306400,6,..,..,..,..
306500,633,54,42,21,9
306600,492,66,93,33,15
306700,492,45,39,15,3
306800,1041,117,72,30,15
306900,318,51,54,15,18
307000,384,54,78,30,6
307100,573,102,123,60,18
307200,333,33,42,27,3
307300,471,72,90,45,15
307400,249,36,45,18,9
307500,870,141,135,45,12
307600,750,93,93,33,18
307700,453,72,75,24,9
307800,765,105,117,36,15
307900,318,54,36,12,9
308000,585,117,84,33,12
308100,732,93,96,24,21
308200,774,132,93,39,12
308300,717,105,126,42,9
308400,831,120,123,42,12
308500,90,15,33,6,3
308600,774,120,129,51,12
12,9576,1320,1200,411,162
309000,261,27,21,6,3
309200,630,75,75,24,15
309300,336,42,57,18,9
309400,858,117,81,39,9
309500,336,30,30,6,3
309600,159,24,12,6,3
309700,276,33,27,15,6
309800,345,42,30,15,0
309900,297,36,33,15,3
310000,372,54,48,15,6
310100,450,78,75,21,12
310200,267,54,27,9,3
310300,309,33,27,12,0
310400,372,45,36,12,6
310500,336,60,63,15,12
310600,297,45,51,9,6
310700,345,57,69,21,9
310800,192,36,27,9,3
310900,243,42,33,12,3
311000,192,24,33,9,3
311100,129,12,18,9,3
311200,99,6,6,3,0
311300,306,33,24,6,0
311400,390,45,51,12,3
311500,951,147,105,36,15
311700,384,48,60,27,12
311800,147,15,18,6,3
311900,171,24,27,12,6
312000,126,27,33,21,12
13,151179,27351,27471,9210,2847
308800,378,51,75,27,9
308900,648,69,60,24,9
312100,69,9,9,3,0
312200,540,90,99,48,21
312300,264,36,33,9,6
312400,405,57,63,30,6
312500,384,36,60,15,15
312600,150,21,30,15,6
312700,327,51,51,27,3
312800,639,90,120,30,12
312900,621,60,75,51,9
313000,147,33,42,12,3
313100,267,54,48,18,9
313200,612,75,96,39,24
313300,519,81,99,54,18
313400,459,84,117,39,15
313500,369,84,96,36,15
313600,318,51,81,30,12
313700,492,66,120,36,18
313800,282,57,69,33,3
313900,600,72,87,30,12
314000,759,108,120,45,15
314100,360,84,81,27,15
314200,561,99,75,21,9
314300,276,60,75,36,6
314400,12,0,0,0,0
314500,579,117,111,42,18
314600,816,159,123,39,12
314700,378,72,84,33,6
314800,588,126,210,81,18
314900,588,102,114,24,18
315000,180,39,30,15,6
315100,198,39,60,18,3
315200,204,51,42,9,6
315300,639,135,126,57,12
315400,555,126,159,66,12
315500,306,51,69,27,6
315600,273,36,42,12,6
315700,531,84,111,33,15
315800,267,45,24,6,0
315900,762,195,174,51,9
316000,312,51,66,15,6
316100,654,96,84,33,6
316200,504,84,90,24,6
316300,132,0,6,3,3
316400,42,6,6,6,3
316500,69,12,18,3,6
316600,366,57,75,21,12
316700,42,3,0,0,3
316800,192,27,27,9,6
316900,501,90,87,33,9
317000,357,48,54,30,0
317100,150,36,30,18,3
317200,324,42,39,18,6
317300,609,126,96,33,9
317400,963,147,198,39,9
317500,288,45,36,12,3
317600,243,39,63,21,6
317700,633,129,105,39,15
317800,1098,204,189,60,30
317900,1038,216,210,57,15
318000,738,120,150,42,24
318100,468,87,93,24,6
318200,243,51,42,18,3
318300,663,159,186,54,15
318400,174,27,24,15,6
318500,351,87,69,15,0
318600,627,135,156,48,9
318700,642,111,102,51,18
318800,519,102,105,33,21
318900,477,60,84,27,9
319000,540,108,96,30,12
319100,105,9,3,3,0
319200,750,174,165,66,24
319300,759,165,144,57,30
319400,507,99,60,24,9
319500,594,111,141,45,12
319600,876,159,132,54,15
319700,807,150,144,51,15
319800,366,63,42,12,3
319900,702,168,171,66,18
320000,45,6,3,0,0
320100,780,123,150,36,6
320200,816,165,150,51,15
320300,591,129,108,39,9
320400,36,6,0,0,0
320500,681,138,123,30,9
320600,711,144,129,57,6
320700,732,126,117,24,9
320800,723,138,114,51,15
320900,639,99,123,33,6
321000,1020,177,129,45,15
321100,1158,222,198,51,18
321200,294,36,24,3,3
321300,708,144,192,45,6
321400,786,168,207,63,15
321500,504,102,78,45,9
321600,489,126,192,51,9
321700,798,135,141,42,12
321800,741,84,57,18,12
321900,489,120,105,30,6
322000,318,66,45,18,15
322100,540,123,177,51,9
322200,708,114,156,51,9
322300,93,18,12,6,0
322400,639,102,102,33,6
322500,189,33,18,3,0
322600,519,96,105,48,3
322700,567,81,84,18,9
322800,282,81,72,15,0
322900,240,45,45,6,3
323000,936,129,117,39,6
323100,846,216,207,57,24
323200,360,48,54,15,3
323300,729,135,66,30,15
323400,918,228,189,69,30
323500,66,0,0,0,0
323600,219,99,75,12,3
323700,726,192,222,66,21
323800,711,105,96,18,3
323900,918,111,75,21,3
324000,567,111,123,39,9
324100,159,39,36,6,0
324200,15,0,0,0,0
324300,594,123,120,30,9
324400,888,177,114,18,6
324500,771,213,201,42,9
324600,669,129,114,30,12
324700,108,36,30,9,0
324800,1026,123,75,21,6
325000,765,138,129,27,12
325100,912,198,210,81,27
325200,297,39,15,3,3
325300,1443,216,99,21,9
325400,759,174,210,66,12
325500,12,0,0,0,0
325600,825,153,150,57,24
325700,387,30,12,3,0
325800,960,96,36,6,0
325900,573,129,96,30,12
326000,291,60,78,27,9
326100,594,81,57,21,9
326200,24,3,6,3,0
326300,792,177,186,51,18
326500,630,117,93,36,18
326600,18,3,0,0,0
326700,609,144,144,42,39
326800,732,111,42,9,3
326900,900,156,117,30,12
327000,663,60,39,6,3
327100,138,12,3,0,3
327200,1086,222,201,69,15
327300,411,81,135,39,12
327400,882,141,93,21,9
327500,588,117,108,36,18
327600,1053,198,180,39,18
327700,783,174,159,54,18
327800,471,78,57,24,15
327900,1560,246,138,30,9
328000,609,114,135,54,9
328100,39,9,0,3,0
328200,696,105,93,30,18
328300,768,129,108,51,15
328400,663,132,123,36,18
328500,690,105,108,30,15
328600,777,219,168,93,48
328700,546,51,21,6,6
328800,48,9,3,3,3
328900,1179,207,129,33,6
329000,216,36,51,9,0
329100,939,198,240,66,12
329200,834,129,135,48,9
329300,504,111,78,33,24
329400,588,102,75,21,3
329500,537,108,126,30,12
329600,462,66,33,9,6
329700,840,141,84,27,6
329800,555,153,93,39,18
329900,612,123,66,18,6
330000,519,87,114,42,9
330100,873,171,141,45,21
330200,996,174,159,42,12
330300,741,129,162,54,9
330400,693,135,147,45,27
330500,618,129,102,30,15
330600,549,117,162,45,3
330700,18,3,0,0,0
330800,741,153,138,45,15
330900,351,60,63,12,6
331000,294,75,57,18,3
331100,903,162,123,39,12
331200,561,105,126,30,6
331300,837,141,201,66,9
331400,570,123,120,36,9
331500,168,18,15,6,0
331600,12,3,6,0,0
331700,834,177,171,54,18
331800,270,42,42,18,12
331900,582,108,132,27,3
332000,1029,135,168,48,9
332100,609,90,90,18,3
332200,216,45,51,9,3
332400,444,57,72,30,6
332500,885,165,132,39,3
332700,837,183,228,54,9
332800,57,9,12,6,0
332900,459,69,78,15,3
333100,321,48,57,24,3
333200,177,18,21,12,3
333300,258,9,18,6,3
333500,228,15,12,6,0
333600,63,3,3,3,0
333700,264,57,72,18,6
333800,246,54,60,27,9
333900,309,51,54,18,9
334000,702,132,126,51,15
334100,288,60,81,21,3
334200,360,81,84,42,6
334300,210,39,42,18,3
334400,381,51,78,27,12
334500,711,114,156,69,18
334600,354,102,147,51,12
334700,126,54,45,18,0
334900,558,249,267,78,27
335000,447,81,114,39,15
335100,531,180,237,78,12
335200,714,252,336,96,24
335300,384,129,225,87,18
335400,567,111,108,63,18
335500,561,207,210,48,9
335600,411,75,99,33,12
335700,804,210,354,87,18
335800,351,51,60,15,12
335900,366,57,81,33,6
336000,579,126,165,30,9
336100,684,186,234,75,18
336200,516,108,120,48,15
336300,207,48,69,39,6
336400,159,30,21,12,0
336600,21,3,6,0,0
336700,282,69,78,48,6
336800,501,105,117,51,12
336900,480,90,90,27,9
337000,324,72,81,39,21
337100,537,105,117,60,21
337200,360,69,78,36,18
337300,384,54,93,30,6
337400,735,93,114,39,6
337500,534,96,111,33,21
337600,402,60,54,30,9
337700,261,36,48,15,9
337800,618,81,87,27,9
337900,351,60,48,18,6
338000,51,3,6,3,0
338100,354,39,24,12,0
338200,597,114,105,36,15
338300,579,60,57,24,12
338400,525,102,84,30,24
338500,786,123,111,63,24
338600,42,3,6,3,0
338700,363,42,54,42,9
338800,258,45,51,27,6
338900,867,90,135,42,18
339000,516,51,57,30,15
339100,465,69,78,42,9
339200,396,48,60,36,6
339300,735,81,84,30,9
339400,342,66,66,33,9
339500,324,42,57,21,6
339600,690,93,96,42,15
339700,450,45,72,24,6
339800,303,36,42,15,6
339900,435,72,69,30,12
340000,678,93,120,36,3
340100,492,81,105,24,6
340200,465,69,63,33,6
340300,486,99,90,30,12
340400,693,120,87,36,9
340500,339,63,66,24,6
340600,681,81,75,27,12
340700,849,129,114,39,15
340800,717,99,78,30,6
341000,621,120,111,27,9
341100,129,15,12,3,3
341200,87,9,6,3,3
341300,765,120,84,30,18
341400,468,78,57,18,0
341500,252,36,27,6,6
341800,438,66,60,15,0
341900,309,51,63,36,15
342000,282,33,30,18,3
342100,222,30,39,21,3
342200,183,27,30,21,9
342300,159,27,30,18,3
342400,297,33,39,15,9
342500,204,12,12,3,3
342600,282,63,39,21,9
342700,471,60,33,21,6
342800,621,63,39,18,6
343100,240,18,21,9,0
343300,285,30,45,18,6
14,59949,9183,9285,3231,1002
343400,411,84,96,51,12
343500,312,54,69,27,18
343600,429,51,45,27,6
343700,561,72,78,36,9
343800,282,42,54,18,6
343900,741,87,78,30,27
344000,813,132,105,54,30
344100,399,42,42,24,6
344200,507,66,45,21,18
344300,477,48,45,24,3
344400,111,12,0,3,0
344500,726,96,81,33,18
344700,333,33,39,12,6
344800,627,81,105,33,9
344900,741,144,144,51,15
345000,699,102,123,30,6
345100,315,33,54,18,9
345200,174,30,15,12,6
345300,426,48,78,27,12
345400,414,39,39,15,3
345500,846,99,129,51,12
345600,894,81,102,39,12
345700,513,60,66,21,12
345800,573,51,51,27,12
345900,96,15,15,6,0
346000,123,21,9,6,0
346200,183,36,39,9,0
346400,165,21,24,12,0
346600,537,72,93,33,6
346700,489,111,141,36,6
346800,504,57,57,15,3
346900,381,102,147,30,6
347000,393,39,30,15,0
347100,285,42,75,21,9
347200,219,69,87,24,9
347300,108,12,18,3,0
347400,192,60,63,21,3
347500,300,51,69,27,3
347700,300,33,15,9,0
347800,636,81,84,12,3
347900,606,132,159,63,3
348000,129,30,48,15,3
348100,198,21,9,0,0
348200,351,36,24,3,3
348300,459,63,45,3,3
348400,711,117,87,21,3
348500,90,9,15,6,0
348600,306,48,51,9,3
348700,306,117,153,30,9
348800,237,105,156,48,12
348900,150,39,87,21,3
349000,174,21,24,18,6
349100,447,72,57,27,12
349200,432,45,39,18,3
349300,552,111,126,57,12
349400,357,63,66,27,15
349600,531,93,87,36,12
349700,762,90,111,36,6
349800,939,90,93,36,9
349900,975,111,96,27,9
350000,933,126,120,42,21
350100,204,45,39,21,3
350200,288,45,60,24,3
350300,513,90,123,45,9
350400,420,111,90,27,6
350500,300,63,63,18,6
350600,312,51,51,18,9
350700,597,132,135,36,15
350900,537,129,132,45,21
351000,1161,222,201,72,18
351100,702,162,165,45,12
351200,402,81,84,12,3
351300,618,102,93,30,21
351400,294,48,63,15,9
351500,651,96,102,48,9
351600,810,120,141,42,9
351700,447,84,72,18,3
351800,399,69,72,27,9
351900,375,57,63,15,6
352000,612,48,42,12,0
352100,579,99,123,33,15
352200,825,15,6,0,0
352300,507,120,96,27,12
352400,396,3,3,0,0
352500,246,66,84,27,6
352600,636,141,96,45,12
352700,456,69,63,15,6
352800,456,27,12,0,0
352900,456,60,30,9,3
353000,330,66,48,27,3
353100,315,12,3,3,0
353200,405,3,6,0,0
353300,840,141,108,30,15
353400,552,27,12,3,3
353500,600,129,108,33,9
353600,537,99,78,24,6
353700,15,0,0,0,0
353800,537,51,36,3,6
353900,276,36,27,15,0
354000,357,75,87,24,9
354100,348,102,75,27,12
354200,786,93,66,24,12
354300,30,3,3,0,0
354400,519,69,87,24,9
354500,522,96,93,30,15
354600,387,69,48,24,12
354700,1014,96,69,21,9
354800,612,87,126,36,9
354900,732,126,111,45,9
355000,417,69,96,24,6
355100,348,51,57,12,3
355200,837,153,144,42,15
355300,426,75,66,24,9
355400,396,78,102,30,3
355500,804,123,81,36,18
355600,588,117,126,45,9
355700,480,108,111,30,9
355800,606,87,114,60,21
355900,366,39,57,15,9
356000,297,60,48,36,9
356100,342,66,84,45,12
356200,531,75,84,42,15
356300,441,42,42,27,6
356400,597,99,84,39,18
356500,783,126,84,42,12
356600,486,72,51,24,9
356700,126,18,21,9,3
356800,306,57,39,21,9
15,26334,4317,4449,1818,612
357300,219,33,36,12,6
357500,690,117,93,42,9
357600,165,21,30,6,6
357700,297,48,66,24,6
357900,543,78,84,42,15
358000,381,66,66,30,12
358100,372,51,60,36,12
358200,318,51,60,42,9
358300,471,84,111,54,21
358400,687,114,141,75,21
358500,240,51,60,33,12
358600,756,81,108,48,9
358700,237,72,54,33,9
358800,531,63,48,21,9
358900,288,45,66,21,6
359000,243,45,63,33,6
359100,543,108,126,48,18
359300,168,9,15,6,0
359400,213,39,63,24,12
359500,546,93,99,57,15
359600,378,54,81,42,12
359700,312,48,57,36,12
359800,513,66,72,27,9
359900,807,102,123,54,15
360000,399,75,69,24,6
360100,84,9,3,0,0
360200,498,42,33,18,3
360300,171,24,27,9,3
360400,465,66,63,27,18
360500,384,66,81,30,6
360600,921,183,201,69,18
360700,729,93,120,24,6
360800,231,45,69,24,12
360900,690,126,192,75,15
361000,375,33,18,6,6
361100,645,114,120,45,6
361200,513,84,105,33,9
361300,402,69,42,21,3
