Number of dependent children,0,1,2,3,4
124900,492,168,129,57,39
125000,342,168,153,48,27
125100,12,3,3,0,0
125200,1044,240,228,51,6
125300,561,159,138,45,15
125400,801,204,138,30,3
125500,669,198,138,39,3
125600,699,189,126,48,9
125700,408,138,108,33,18
125800,642,162,189,36,9
125900,636,75,72,15,3
126000,522,174,168,39,9
126100,456,135,138,42,6
126200,783,195,213,54,12
126300,687,186,180,45,12
126400,684,210,189,42,21
126500,690,165,123,30,3
126600,1323,231,210,30,6
126700,690,180,159,51,18
126800,888,78,60,18,3
126900,696,231,216,63,27
127000,795,228,186,54,30
127100,495,90,78,21,18
127200,318,36,15,3,0
127300,540,111,132,27,6
127400,693,126,168,51,3
127500,459,36,15,6,3
127600,453,102,105,24,9
127700,615,207,144,42,24
127800,234,108,81,39,27
127900,612,132,99,30,12
128000,297,57,45,15,6
128100,519,105,81,18,6
128200,705,144,171,57,9
128300,618,225,174,87,36
128400,507,150,117,27,27
128500,657,198,171,45,30
128600,390,72,60,21,3
128800,870,207,240,72,15
128900,774,231,180,72,48
129000,309,159,108,51,21
129100,786,270,186,75,45
129200,936,171,216,54,12
129300,603,165,192,54,6
129400,600,162,159,48,6
129500,486,135,120,33,24
129600,582,204,165,69,33
129700,864,114,123,66,9
129800,405,117,162,48,6
129900,912,225,309,78,12
130000,414,96,126,42,12
130100,582,201,162,60,21
130200,738,69,60,24,0
130300,636,135,204,57,6
130400,468,135,132,36,6
130500,384,135,111,51,24
130600,678,195,195,60,30
130700,861,183,258,84,12
130800,447,126,99,42,18
130900,747,273,189,69,33
131000,339,132,102,39,24
131100,744,174,132,33,21
131200,924,162,126,24,3
131300,480,30,6,0,0
131400,363,78,123,39,9
131500,717,198,201,48,21
131600,669,129,135,48,6
131700,615,183,144,60,36
131800,1533,153,108,27,0
131900,456,135,144,33,15
132000,876,240,189,42,21
132100,726,126,144,42,9
132200,756,213,213,81,18
132300,642,189,117,36,21
132400,792,72,27,3,0
132500,681,195,222,60,21
132600,636,177,111,33,12
132700,933,84,18,3,3
132800,891,156,126,42,9
132900,594,189,132,33,9
133000,822,138,195,63,12
133100,663,117,90,36,15
133200,702,42,15,0,0
133300,873,93,39,6,0
133400,1251,126,54,6,0
133500,579,57,45,9,3
133600,909,180,138,33,6
133700,822,30,9,0,0
133800,606,45,12,3,0
133900,141,30,9,3,0
134000,519,96,117,30,3
134100,714,24,12,3,0
134200,645,171,198,51,18
134300,912,51,30,3,0
134400,798,150,102,24,12
134500,1179,66,12,3,0
134600,453,147,204,54,9
134700,579,150,219,51,15
134800,54,3,0,0,0
134900,603,159,132,39,18
135000,789,216,162,48,21
135100,1170,51,9,3,0
135200,444,114,114,30,12
135300,984,63,15,0,0
135400,606,171,180,66,15
135500,624,183,111,30,21
135600,561,162,111,21,12
135700,375,30,18,3,0
135800,582,141,87,24,3
135900,351,21,6,0,0
136000,1509,120,33,6,3
136100,453,45,27,6,3
136200,405,51,81,27,3
136300,768,198,189,66,12
136400,1299,153,84,18,3
136500,885,285,240,57,15
136600,489,171,123,36,24
136700,843,186,264,60,9
136800,372,117,93,33,15
136900,510,87,90,24,3
137000,489,144,108,24,6
137100,402,153,93,42,39
137200,690,198,180,48,27
137300,399,93,105,30,3
137400,1029,159,108,39,12
137500,474,123,156,54,3
137600,426,120,132,24,6
137700,168,39,6,3,0
137800,987,159,102,33,6
137900,441,144,120,66,48
138000,813,120,138,39,15
138100,648,129,177,51,12
138200,699,186,168,42,12
138300,684,213,192,63,36
138400,666,147,177,60,12
138500,1197,219,114,27,3
138600,390,105,102,30,3
