Household composition,Total households - household composition
    361100,942
    361200,753
    361300,555
    361400,798
    361500,1470
    361600,1479
    361700,1065
    361800,0
    361900,696
    362000,759
    362100,828
    362200,801
    362300,528
    362400,1092
    362500,951
    362600,456
    362700,501
    362800,498
    362900,867
    363000,570
    363100,246
    363200,0
    363300,780
    363700,3
  77,1653513
  99,276
    258000,0
    258100,0
    342900,0
    343000,276
    400001,0
    400002,0
    400003,0
    400004,0
    400005,0
    400006,0
    400007,0
    400008,0
    400009,0
    400010,0
    400011,0
    400012,0
    400013,0
    400014,0
    400015,0
    400016,0
