sa2,ethnicity,age,fully_imms,partial_imms
101200,Asian,1-4,0.5,0.0
101200,Maori,1-4,0.7457627118644068,0.05084745762711865
101200,Others,1-4,0.16666666666666666,0.0
101200,Pacific,1-4,1.0,0.0
101200,Maori,13-17,0.7142857142857143,0.11428571428571428
101200,Others,13-17,0.6666666666666666,0.12121212121212122
101200,Pacific,13-17,1.0,0.0
101200,Asian,5-12,0.6666666666666666,0.3333333333333333
101200,Maori,5-12,0.8543689320388349,0.05825242718446602
101200,Others,5-12,0.6666666666666666,0.041666666666666664
101200,Pacific,5-12,0.75,0.0
101300,Maori,1-4,0.48717948717948717,0.15384615384615385
101300,Others,1-4,0.26666666666666666,0.0
101300,Pacific,1-4,1.0,0.0
101300,Asian,13-17,0.0,0.0
101300,Maori,13-17,0.7884615384615384,0.057692307692307696
101300,Others,13-17,0.6,0.02857142857142857
101300,Pacific,13-17,1.0,0.0
101300,Maori,5-12,0.7475728155339806,0.05825242718446602
101300,Others,5-12,0.6122448979591837,0.04081632653061224
101300,Pacific,5-12,0.8333333333333334,0.0
101400,Maori,1-4,0.6176470588235294,0.029411764705882353
101400,Others,1-4,0.5714285714285714,0.14285714285714285
101400,Pacific,1-4,0.0,0.0
101400,Asian,13-17,1.0,0.0
101400,Maori,13-17,0.8297872340425532,0.06382978723404255
101400,Others,13-17,0.7692307692307693,0.23076923076923078
101400,Pacific,13-17,0.75,0.0
101400,Asian,5-12,0.5,0.0
101400,Maori,5-12,0.734375,0.0625
101400,Others,5-12,0.8611111111111112,0.027777777777777776
101500,Asian,1-4,1.0,0.0
101500,Maori,1-4,0.14285714285714285,0.07142857142857142
101500,Others,1-4,0.38461538461538464,0.0
101500,Maori,13-17,0.8717948717948718,0.05128205128205128
101500,Others,13-17,0.8333333333333334,0.05555555555555555
101500,Pacific,13-17,0.0,1.0
101500,Asian,5-12,1.0,0.0
101500,Maori,5-12,0.7924528301886793,0.11320754716981132
101500,Others,5-12,0.7142857142857143,0.03571428571428571
101600,Maori,1-4,0.6428571428571429,0.09523809523809523
101600,Others,1-4,0.5,0.0
101600,Maori,13-17,0.8072289156626506,0.13253012048192772
101600,Others,13-17,1.0,0.0
101600,Pacific,13-17,0.5,0.0
101600,Maori,5-12,0.8035714285714286,0.08928571428571429
101600,Others,5-12,1.0,0.0
101600,Pacific,5-12,1.0,0.0
101700,Maori,1-4,0.5333333333333333,0.03333333333333333
101700,Others,1-4,0.0,0.0
101700,Maori,13-17,0.7555555555555555,0.044444444444444446
101700,Others,13-17,0.6363636363636364,0.18181818181818182
101700,Pacific,13-17,1.0,0.0
101700,Maori,5-12,0.6730769230769231,0.07692307692307693
101700,Others,5-12,0.7368421052631579,0.10526315789473684
101700,Pacific,5-12,1.0,0.0
101800,Asian,1-4,1.0,0.0
101800,Maori,1-4,0.6388888888888888,0.1111111111111111
101800,Others,1-4,0.7333333333333333,0.06666666666666667
101800,Unknown,1-4,1.0,0.0
101800,Asian,13-17,0.0,1.0
101800,Maori,13-17,0.873015873015873,0.07936507936507936
101800,Others,13-17,0.6818181818181818,0.13636363636363635
101800,Pacific,13-17,1.0,0.0
101800,Asian,5-12,1.0,0.0
101800,Maori,5-12,0.8390804597701149,0.05747126436781609
101800,Others,5-12,0.7894736842105263,0.05263157894736842
101800,Pacific,5-12,1.0,0.0
101800,Unknown,5-12,0.0,0.0
101900,Asian,1-4,1.0,0.0
101900,Maori,1-4,0.42105263157894735,0.14035087719298245
101900,Others,1-4,0.6153846153846154,0.0
101900,Pacific,1-4,0.0,0.5
101900,Unknown,1-4,1.0,0.0
101900,Maori,13-17,0.8709677419354839,0.04838709677419355
101900,Others,13-17,0.8,0.05
101900,Pacific,13-17,0.5,0.0
101900,Maori,5-12,0.8529411764705882,0.051470588235294115
101900,Others,5-12,0.7222222222222222,0.05555555555555555
101900,Pacific,5-12,0.875,0.0
102000,Maori,1-4,0.5,0.07692307692307693
102000,Others,1-4,0.6666666666666666,0.08333333333333333
102000,Pacific,1-4,0.3333333333333333,0.0
102000,Maori,13-17,0.8076923076923077,0.0641025641025641
102000,Others,13-17,0.8387096774193549,0.06451612903225806
102000,Pacific,13-17,1.0,0.0
102000,Maori,5-12,0.7829457364341085,0.06976744186046512
102000,Others,5-12,0.75,0.03571428571428571
