SA2 Code,Family Type Code,People Count Code,Dependent Children Count Code,Count
203400,2,4,911,s
208400,2,4,211,36
138300,2,6,411,15
232700,2,3,111,93
146600,2,3,11,45
133300,3,4,111,s
312900,2,8,412,s
103500,3,5,411,24
150300,3,3,11,9
348700,3,2,111,18
325100,2,5,11,s
315700,3,6,311,s
126800,2,4,911,s
116600,2,4,911,s
237100,3,3,11,6
359500,2,3,911,s
105100,2,5,11,s
154900,2,4,11,33
163600,2,6,211,s
214700,3,4,911,s
242600,2,7,411,s
247300,3,4,11,s
257500,3,4,311,6
135000,3,3,211,24
327500,1,2,11,261
210400,2,6,211,s
322400,3,3,911,s
167800,3,3,111,6
175500,2,6,211,s
172600,3,2,11,s
131100,2,5,311,24
122900,2,4,211,126
189700,2,8,413,s
176500,3,4,211,s
251500,2,5,311,30
338400,2,4,111,12
156900,2,9,413,s
348000,2,6,411,s
194400,2,4,11,s
170900,2,5,111,s
334900,2,5,911,s
126500,2,4,211,96
344800,2,3,111,51
180500,3,6,411,s
138800,3,3,111,s
180800,3,6,412,s
200800,3,3,11,s
175800,2,8,413,s
140100,3,4,311,12
241500,2,4,11,21
181000,2,5,311,27
154100,2,6,411,s
166200,2,4,911,s
246300,3,2,11,24
307600,3,2,111,33
176400,3,4,211,s
200900,2,4,211,102
106000,3,3,11,s
206000,2,4,211,24
189100,3,5,411,s
206400,3,2,111,45
300600,1,2,11,246
234300,2,8,412,s
130400,2,5,311,30
185800,2,4,111,12
339000,2,4,911,s
235700,2,6,311,s
306200,2,4,111,6
213200,2,6,211,s
164200,2,7,412,6
176900,3,3,111,s
252900,3,4,11,s
103000,2,6,111,s
133200,2,4,111,s
168300,2,4,911,s
305300,2,4,111,15
156200,3,3,911,s
225200,2,4,111,6
305100,2,3,911,s
148500,2,6,11,s
229600,2,7,412,s
159000,3,4,111,s
157200,2,6,311,6
209000,3,7,412,s
153400,3,4,311,s
247000,3,4,111,s
178100,3,4,11,s
157100,2,4,211,111
143000,2,7,412,s
334400,3,3,111,s
173500,2,5,11,s
147400,1,2,11,18
116600,3,2,11,12
252100,3,4,911,s
318800,2,7,412,s
356700,2,7,412,s
327400,2,7,412,s
218700,2,5,311,51
348100,2,5,211,s
150200,3,6,412,6
174300,2,6,311,s
246400,3,4,11,s
150600,2,4,211,189
361200,2,7,412,s
198600,3,3,211,27
360300,2,5,311,6
161800,2,4,911,s
128300,1,2,11,291
173600,2,5,311,24
186400,3,6,311,s
233500,2,6,411,s
137800,3,4,111,s
322600,3,5,311,s
248600,2,4,11,18
133800,2,3,111,30
309400,3,3,211,27
154700,1,2,11,273
145900,3,3,11,6
108000,2,3,111,36
128500,2,8,413,s
361700,2,7,412,s
339000,3,2,11,9
106400,3,5,311,s
148200,2,5,311,24
108700,2,4,111,9
339600,2,5,11,s
187300,3,2,11,27
123700,2,6,211,s
186400,3,6,412,s
344100,2,7,412,s
144300,3,4,911,s
139000,2,5,111,s
190600,3,2,11,51
228200,2,4,11,s
197200,1,2,11,273
312200,3,3,911,s
333700,2,5,911,s
206700,2,6,411,9
345800,3,2,11,15
220700,3,5,311,s
350400,2,5,311,18
246600,3,2,911,s
321800,3,4,311,s
316100,1,2,11,249
121200,3,3,111,12
150000,3,2,11,33
239200,3,6,211,s
141200,2,3,111,42
228300,3,4,911,s
202800,2,4,111,9
339400,3,3,211,9
215100,2,8,413,s
213800,2,7,211,s
194900,2,3,11,57
250400,2,6,411,6
103700,2,4,111,s
147600,2,4,11,s
180100,3,3,911,s
362900,3,5,211,s
242700,2,3,911,s
229900,2,6,111,s
252000,2,5,11,s
148500,2,3,11,30
195900,2,5,211,s
170100,2,5,11,s
158000,3,2,111,21
312600,2,6,911,s
116300,2,6,911,s
309500,3,3,211,6
112500,3,3,111,s
156000,3,2,11,s
356800,3,2,111,18
238500,3,3,911,s
117400,2,4,11,24
326500,2,7,412,s
224900,2,8,411,s
222700,3,6,412,s
167300,2,3,111,6
302000,2,3,11,s
244600,3,8,411,s
345300,3,2,11,s
123200,2,6,11,s
182800,3,3,211,33
336700,2,3,911,s
210200,3,6,411,s
153600,2,8,412,s
201900,2,4,11,s
153000,2,9,411,s
130200,2,4,111,s
186200,2,5,311,24
308000,2,4,211,51
255100,2,6,311,6
229300,3,6,412,s
160600,3,9,412,s
184600,3,3,211,12
110900,2,4,11,s
128300,3,5,411,s
306500,2,3,111,39
155900,2,6,211,s
323400,2,4,11,15
255600,2,5,111,s
328600,3,5,211,s
133600,2,7,412,s
228000,2,7,412,s
181100,2,5,111,6
351400,2,8,413,s
241800,2,5,111,s
176800,3,4,11,s
343500,3,3,111,s
315200,2,5,111,s
188200,3,3,911,s
124000,3,4,111,s
118700,3,4,311,s
224500,3,4,211,s
245800,2,8,311,s
141300,2,3,111,81
241800,2,5,211,s
150800,3,6,411,s
343500,3,3,211,s
253700,3,4,11,s
126800,3,3,111,s
131000,3,3,211,24
166200,3,3,111,s
237400,1,2,11,108
245300,2,5,111,9
357300,2,3,111,24
100500,3,2,111,12
341000,2,6,411,s
230700,2,4,111,12
359400,2,4,211,51
119800,2,3,11,66
111300,2,5,111,s
175500,3,3,911,s
181200,3,3,211,18
314200,3,4,11,s
197300,2,6,411,6
201000,3,4,311,6
352400,2,3,111,s
301600,2,4,11,18
323900,2,6,411,s
152900,3,2,911,s
224800,3,6,311,s
160900,2,5,211,9
245400,2,5,311,36
351400,3,4,211,s
240300,2,4,211,66
172400,3,4,111,s
102100,2,3,111,21
307100,3,2,11,12
190400,1,2,11,168
131600,3,3,111,s
113100,2,5,111,6
302100,2,7,411,s
252600,2,6,311,s
313700,2,12,417,s
147800,2,4,111,30
224400,2,6,411,s
253000,2,4,11,6
133100,2,4,211,66
215300,2,7,411,s
117900,2,7,111,s
144300,2,7,411,s
171900,2,6,211,s
320600,2,3,911,s
320900,3,5,911,s
203000,2,4,11,6
236100,2,4,111,s
157200,3,5,211,s
157500,2,4,11,33
190100,2,4,211,s
159600,2,7,311,s
238500,3,4,11,s
138200,3,2,11,45
315200,2,5,211,6
123200,1,2,11,234
174400,2,5,911,s
361600,2,6,411,9
235900,2,3,911,s
139200,3,3,211,15
112900,2,5,111,s
252300,2,4,11,s
113100,2,5,211,9
348500,3,2,11,s
342400,3,2,11,12
246700,3,2,11,27
141900,2,8,413,s
200600,2,5,311,24
130100,2,6,111,s
170300,2,4,11,9
242700,2,4,11,s
318700,3,3,11,6
177100,3,3,211,45
356600,1,2,11,225
239600,2,4,911,s
305500,3,2,111,24
220100,2,3,11,39
222300,2,5,311,15
106300,3,3,211,6
109100,2,7,412,s
257300,2,6,311,s
102900,3,3,11,s
107500,3,3,211,36
126400,2,8,411,s
176100,3,2,111,45
186800,3,4,111,s
150900,2,6,311,s
350900,3,2,111,36
174700,2,5,111,s
187300,3,3,111,9
170800,2,11,412,s
251700,2,4,111,s
121800,2,4,11,18
246000,3,4,211,s
227900,2,9,413,s
338500,2,10,415,s
349200,2,6,411,s
338000,2,6,11,s
123500,2,6,211,s
156900,3,5,211,s
352800,2,5,211,s
351700,3,6,412,s
119800,3,4,11,s
174700,2,5,211,s
233200,2,7,412,s
164700,3,2,111,21
157800,2,7,211,s
107500,3,3,111,9
227900,2,6,311,s
250600,2,5,911,s
194800,2,6,111,s
213700,3,5,211,s
104100,2,4,211,30
165900,3,5,411,s
106300,3,3,111,s
319200,3,6,311,s
155300,2,5,211,6
318300,2,6,411,6
146200,2,6,411,s
139200,3,3,111,s
146500,2,7,11,s
255700,3,7,413,s
134900,2,4,211,93
124300,3,6,412,s
186100,2,7,411,s
320200,3,3,111,9
240300,3,4,111,s
307300,3,2,111,15
237500,2,3,111,78
357500,3,4,211,s
187100,2,4,211,33
111900,2,4,11,s
256100,2,5,111,s
181000,2,7,412,s
355200,2,6,11,s
234400,2,9,414,s
318000,2,8,412,s
107300,2,5,211,9
237200,2,7,211,s
180700,2,7,411,s
153700,2,4,11,39
228800,3,4,311,s
359400,2,4,111,s
306700,2,4,911,s
335100,2,7,311,s
195300,2,7,412,6
184400,1,2,11,219
139300,2,3,111,72
169200,1,2,11,552
179600,3,2,11,36
124000,3,4,211,s
146300,3,3,11,30
